Name,Last_name,ID,Mail,Phone_number
ולאא,דוויק,232695804,yosi@gmail.com,050-2489556
יורם ברוק,ברוק,152683596,SHLOMYSHLOMO@walla.co.il,052-9877536
יאיר,דויד,965687452,HAVHAV@gmail.com,052-4566332
דינה,וולפרט,569235681,Bob123@hayoo.com,054-6235449
משה,פולק,589631405,,
ניצן,הראל,526384560,,
ליאל,סוויד,229985636,,
יצחק,גליק,778596402,,
ניקולאי,סניטקו,639685502,,
שמעון,קושניר,490365804,,
דוד,טולמסוב,87799888,,
ויקטוריה,ז'יגלוב,234568505,,
אדי,נוז,369595806,,
אנסטסיה סהר,שבצ'וק,206085401,,
טל,סהר,309085605,,
ניסים,בוזגלו,805263506,,
ניר,לנקר,123456789,,
מאיר,הילזנרט,852964371,,
צבי אליהו,שמיר,784554872,,
יגאל,מצלאווי,306295841,,
קרן,דרורי,629584317,,
דיאנה,צסקיס,878759624,,
עילם,וייס,858695741,,
רינה,חסין,123456745,,
מורן,לוי,555968574,,
יעל,כץ-מסטבאום,441236589,,
חיים,צברי,451263965,,
יזהר,גביש,441663723,,
דניאל,משולם,404160630,,
דניאלה,קדרי,745263965,,
ואסם,בדארנה,876521439,,
אגבאריה,כפאח,112445963,,
